Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
3,12,SJS,31,YKW,28,AWAY,3
3,13,PHI,33,COL,32,HOME,1
3,13,YKW,50,LV,13,HOME,37
3,13,OCO,25,BAL,23,HOME,2
3,13,AZ,30,SJS,13,AWAY,17
3,14,AZ,45,LV,0,AWAY,45
3,14,PHI,31,BAL,14,HOME,17
3,14,YKW,32,OCO,17,AWAY,15
3,14,COL,34,SJS,6,HOME,28
3,P,BAL,34,PHI,3,HOME,31
3,P,AZ,27,OCO,7,HOME,20
3,U,AZ,49,BAL,12,HOME,37
4,1,AZ,33,OCO,27,AWAY,6
4,1,BAL,20,YKW,17,HOME,3
4,1,SJS,49,COL,20,HOME,29
4,1,PHI,27,LV,10,HOME,17
4,2,SJS,31,BAL,23,AWAY,8
4,2,AZ,48,PHI,10,AWAY,38
4,2,LV,27,COL,13,AWAY,14
4,2,YKW,20,OCO,17,AWAY,3
4,3,AZ,17,SJS,9,AWAY,8
4,3,BAL,48,COL,17,HOME,31
4,3,OCO,21,PHI,13,HOME,8
4,3,YKW,35,LV,20,AWAY,15
4,4,LV,30,COL,14,HOME,16
4,4,BAL,17,SJS,13,AWAY,4
4,4,AZ,33,PHI,6,HOME,27
4,4,OCO,35,YKW,20,AWAY,15
4,5,BAL,31,AZ,27,HOME,4
4,5,OCO,59,LV,3,HOME,56
4,5,PHI,26,COL,14,HOME,12
4,5,SJS,38,YKW,27,HOME,11
4,6,YKW,12,AZ,10,HOME,2
4,6,BAL,19,LV,13,AWAY,6
4,6,OCO,37,COL,23,AWAY,14
4,6,SJS,26,PHI,6,AWAY,20
4,7,LV,31,PHI,19,HOME,12
4,7,SJS,33,COL,14,AWAY,19
4,7,YKW,48,BAL,22,HOME,26
4,7,AZ,22,OCO,10,HOME,12
4,8,SJS,44,LV,13,HOME,31
4,8,BAL,28,OCO,24,HOME,4
4,8,AZ,46,COL,9,HOME,37
4,8,PHI,23,YKW,21,AWAY,2
4,9,PHI,25,BAL,18,HOME,7
4,9,YKW,27,COL,10,AWAY,17
4,9,AZ,35,LV,21,AWAY,14
4,9,OCO,39,SJS,7,HOME,32
4,10,AZ,29,SJS,9,HOME,20
4,10,COL,20,BAL,12,HOME,8
4,10,OCO,19,PHI,9,AWAY,10
4,10,YKW,34,LV,13,HOME,21
4,11,BAL,24,LV,10,HOME,14
4,11,SJS,51,PHI,7,HOME,44
4,11,OCO,40,COL,0,HOME,40
4,11,AZ,31,YKW,24,HOME,7
4,12,OCO,52,LV,27,AWAY,25
4,12,AZ,20,BAL,13,HOME,7
4,12,YKW,29,SJS,13,HOME,16
4,12,PHI,32,COL,9,AWAY,23
4,13,AZ,44,COL,12,AWAY,32
4,13,PHI,27,YKW,16,HOME,11
4,13,SJS,24,LV,6,AWAY,18
4,13,OCO,24,BAL,7,HOME,17
4,14,YKW,31,COL,0,HOME,31
4,14,PHI,35,BAL,33,AWAY,2
4,14,SJS,26,OCO,17,HOME,9
4,14,AZ,40,LV,10,HOME,30
4,P,YKW,26,PHI,20,HOME,6
4,P,OCO,27,AZ,9,AWAY,18
4,U,OCO,30,YKW,23,HOME,7
5,1,AZ,34,COL,9,HOME,25
5,1,PHI,34,LV,28,AWAY,6
5,1,SJS,20,OCO,19,HOME,1
5,1,YKW,28,BAL,26,HOME,2
5,2,OCO,20,COL,17,HOME,3
5,2,BAL,38,LV,27,HOME,11
5,2,AZ,30,SJS,22,AWAY,8
5,2,YKW,27,PHI,24,AWAY,3
5,3,YKW,46,AZ,29,HOME,17
5,3,SJS,21,COL,14,AWAY,7
5,3,OCO,45,LV,21,AWAY,24
5,3,PHI,33,BAL,27,HOME,6
5,4,SJS,32,BAL,22,AWAY,10
5,4,AZ,52,LV,33,HOME,19
5,4,PHI,31,COL,16,AWAY,15
5,4,OCO,26,YKW,20,HOME,6
5,5,COL,19,LV,12,AWAY,7
5,5,OCO,33,BAL,14,AWAY,19
5,5,PHI,38,AZ,31,HOME,7
5,5,YKW,27,SJS,20,AWAY,7
5,6,OCO,31,AZ,24,AWAY,7
5,6,YKW,33,LV,13,HOME,20
5,6,SJS,37,PHI,13,HOME,24
5,6,BAL,34,COL,3,AWAY,31
5,7,YKW,56,COL,20,HOME,36
5,7,OCO,24,PHI,15,HOME,9
5,7,LV,37,SJS,19,HOME,18
5,7,BAL,37,AZ,27,AWAY,10
5,8,AZ,28,COL,21,AWAY,7
5,8,PHI,36,LV,26,HOME,10
5,8,OCO,49,SJS,9,HOME,40
5,8,BAL,27,YKW,16,HOME,11
5,9,OCO,29,COL,10,AWAY,19
5,9,YKW,26,PHI,23,HOME,3
5,9,AZ,35,SJS,30,HOME,5
5,9,BAL,35,LV,17,AWAY,18
5,10,SJS,24,COL,20,HOME,4
5,10,OCO,31,LV,20,HOME,11
5,10,BAL,24,PHI,20,HOME,4
5,10,AZ,41,YKW,28,HOME,13
5,11,PHI,34,COL,0,HOME,34
5,11,YKW,34,OCO,14,HOME,20
5,11,AZ,24,LV,19,AWAY,5
5,11,SJS,34,BAL,26,HOME,8
5,12,SJS,27,YKW,17,AWAY,10
5,12,COL,22,LV,10,HOME,12
5,12,AZ,40,PHI,32,HOME,8
5,12,OCO,37,BAL,24,HOME,13
5,13,BAL,30,COL,6,HOME,24
5,13,PHI,49,SJS,14,HOME,35
5,13,OCO,44,AZ,14,HOME,30
5,13,YKW,31,LV,17,AWAY,14
5,14,BAL,41,AZ,27,HOME,14
5,14,SJS,34,LV,16,HOME,18
5,14,PHI,23,OCO,19,HOME,4
5,14,YKW,44,COL,3,AWAY,41
5,P,YKW,37,BAL,21,HOME,16
5,P,OCO,43,AZ,19,HOME,24
5,U,OCO,26,YKW,15,HOME,11
6,1,OCO,35,NO,17,AWAY,18
