Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
,,,7,,17,IMPOSSIBLE,-10
,,,8,,17,IMPOSSIBLE,-9
,,,9,,17,IMPOSSIBLE,-8
,,,10,,17,IMPOSSIBLE,-7
,,,11,,17,IMPOSSIBLE,-6
,,,12,,17,IMPOSSIBLE,-5
,,,13,,17,IMPOSSIBLE,-4
,,,14,,17,IMPOSSIBLE,-3
,,,15,,17,IMPOSSIBLE,-2
,,,16,,17,IMPOSSIBLE,-1
,,,0,,18,IMPOSSIBLE,-18
,,,1,,18,IMPOSSIBLE,-17
,,,2,,18,IMPOSSIBLE,-16
,,,3,,18,IMPOSSIBLE,-15
,,,4,,18,IMPOSSIBLE,-14
,,,5,,18,IMPOSSIBLE,-13
,,,6,,18,IMPOSSIBLE,-12
,,,7,,18,IMPOSSIBLE,-11
,,,8,,18,IMPOSSIBLE,-10
,,,9,,18,IMPOSSIBLE,-9
,,,10,,18,IMPOSSIBLE,-8
,,,11,,18,IMPOSSIBLE,-7
,,,12,,18,IMPOSSIBLE,-6
,,,13,,18,IMPOSSIBLE,-5
,,,14,,18,IMPOSSIBLE,-4
,,,15,,18,IMPOSSIBLE,-3
,,,16,,18,IMPOSSIBLE,-2
,,,17,,18,IMPOSSIBLE,-1
,,,0,,19,IMPOSSIBLE,-19
,,,1,,19,IMPOSSIBLE,-18
,,,2,,19,IMPOSSIBLE,-17
,,,3,,19,IMPOSSIBLE,-16
,,,4,,19,IMPOSSIBLE,-15
,,,5,,19,IMPOSSIBLE,-14
,,,6,,19,IMPOSSIBLE,-13
,,,7,,19,IMPOSSIBLE,-12
,,,8,,19,IMPOSSIBLE,-11
,,,9,,19,IMPOSSIBLE,-10
,,,10,,19,IMPOSSIBLE,-9
,,,11,,19,IMPOSSIBLE,-8
,,,12,,19,IMPOSSIBLE,-7
,,,13,,19,IMPOSSIBLE,-6
,,,14,,19,IMPOSSIBLE,-5
,,,15,,19,IMPOSSIBLE,-4
,,,16,,19,IMPOSSIBLE,-3
